TransactionID,Transaction_DateTime,TransactionAmt,card4,card6,Customer_Email,Card_BIN,BIN_Risk_Level,Card_Last4,Customer_Status,Risk_Score,Rule_Triggered,Final_Outcome,Chargeback_Flag,Velocity_Attack_Flag,DeviceType,DeviceInfo,P_emaildomain,isFraud
3095550,2025-01-25 19:39:04,375,visa,credit,john.lim286@anonymous.com,459009,Medium,9077,New User,66,HIGH_AMOUNT,Rejected,No,No,desktop,Windows,anonymous.com,0
3549342,2025-06-22 13:10:50,106,mastercard,credit,tom.wong829@gmail.com,549793,Low,3104,New User,49,,Approved,No,No,desktop,0,,0
3105576,2025-01-27 19:25:26,20.988,visa,debit,tom.tan789@hotmail.com,458717,Low,4377,Existing User,45,,Approved,No,No,desktop,0,hotmail.com,0
3005391,2025-01-06 17:41:30,100,visa,credit,mike.chan183@yahoo.com,428539,Low,2364,Existing User,20,,Approved,No,No,desktop,Windows,yahoo.com,0
3018720,2025-01-10 00:25:30,37.079,mastercard,debit,amy.lee935@gmail.com,513796,Low,9462,New User,47,,Approved,No,No,desktop,Windows,gmail.com,0
3109545,2025-01-28 20:33:56,150,visa,credit,mike.teo796@anonymous.com,454482,Low,3826,Existing User,42,,Approved,No,No,desktop,Windows,anonymous.com,0
3327275,2025-04-07 22:25:06,100,visa,debit,sarah.wong945@gmail.com,416111,Low,9745,Existing User,31,,Approved,No,No,desktop,Windows,gmail.com,0
3033744,2025-01-13 21:24:42,50,visa,debit,mike.wong795@gmail.com,475700,Low,7030,Existing User,34,,Approved,No,No,desktop,Windows,gmail.com,0
3117563,2025-01-30 22:31:46,34.747,mastercard,debit,amy.lim361@hotmail.com,533329,Low,2020,Existing User,27,,Approved,No,No,mobile,7048A Build/LRX22G,hotmail.com,0
3338454,2025-04-11 05:04:19,150,discover,credit,anna.tan758@msn.com,633731,Low,2539,Existing User,34,,Approved,Yes,No,mobile,iOS Device,msn.com,1
3394752,2025-04-30 02:19:47,47.792,visa,debit,sarah.goh814@hotmail.com,429578,Low,8516,Existing User,41,,Approved,No,No,mobile,0,hotmail.com,0
3319939,2025-04-05 20:55:55,150,mastercard,debit,john.lee210@gmail.com,511679,Low,1128,New User,46,,Approved,No,No,mobile,iOS Device,gmail.com,0
3523313,2025-06-13 15:42:46,100,visa,credit,mike.wong755@comcast.net,412741,Low,7269,Existing User,26,,Approved,No,No,desktop,MacOS,comcast.net,0
3390355,2025-04-28 20:13:29,69.483,visa,credit,anna.chan428@yahoo.com.mx,492177,Low,5433,New User,49,,Approved,No,No,mobile,SM-A320Y Build/NRD90M,yahoo.com.mx,0
3075252,2025-01-22 14:59:26,150,visa,credit,alex.teo940@aol.com,497776,Low,6613,Existing User,29,,Approved,No,No,mobile,iOS Device,aol.com,0
3326726,2025-04-07 19:58:50,92.745,mastercard,debit,alex.tan510@hotmail.com,510978,Low,7608,New User,48,,Approved,No,No,desktop,Windows,hotmail.com,0
3390212,2025-04-28 19:26:32,12.93,mastercard,debit,john.chan143@gmail.com,521396,Low,2894,Existing User,24,,Approved,No,No,desktop,Trident/7.0,gmail.com,0
3554467,2025-06-24 01:12:57,33.814,visa,debit,anna.ong471@gmail.com,458093,Low,5936,New User,46,,Approved,No,No,desktop,0,gmail.com,0
3551241,2025-06-22 23:06:42,12.665,mastercard,debit,jason.chan342@gmail.com,558825,Low,5919,Existing User,40,,Approved,No,No,mobile,ALP-L09 Build/HUAWEIALP-L09S,gmail.com,0
3506362,2025-06-07 19:10:13,100,visa,credit,tom.goh789@gmail.com,416383,Low,5480,Existing User,29,,Approved,No,No,mobile,iOS Device,,0
3380704,2025-04-25 14:13:08,91.234,mastercard,debit,david.lee953@hotmail.com,554582,Low,3949,Existing User,42,,Approved,No,No,mobile,0,hotmail.com,0
3443200,2025-05-15 23:11:58,42.052,visa,debit,anna.ng584@anonymous.com,401395,Medium,5925,Existing User,54,,Approved,No,Yes,desktop,Windows,anonymous.com,0
3131148,2025-02-04 07:06:55,9.095,visa,credit,john.goh513@hotmail.com,468004,Low,1802,New User,34,,Approved,Yes,No,desktop,Windows,hotmail.com,1
3021150,2025-01-10 19:24:40,150,mastercard,credit,amy.tan259@aol.com,512276,Low,5668,Existing User,25,,Approved,No,No,mobile,iOS Device,aol.com,0
2987145,2025-01-02 00:40:05,100,american express,credit,john.tan61@anonymous.com,373426,Medium,5455,Existing User,53,,Approved,No,No,mobile,iOS Device,anonymous.com,0
3269318,2025-03-21 19:16:07,20,mastercard,debit,lisa.ong658@anonymous.com,539429,Medium,1866,Existing User,50,,Approved,No,No,desktop,MacOS,anonymous.com,0
3297374,2025-03-31 06:16:48,25,visa,debit,lisa.ng519@gmail.com,411492,Low,8517,Existing User,40,,Approved,No,No,desktop,MacOS,gmail.com,0
3042683,2025-01-15 22:43:29,140.328,mastercard,debit,lisa.tan203@gmail.com,533158,Low,5450,Existing User,33,,Approved,Yes,No,mobile,ALE-L23 Build/HuaweiALE-L23,gmail.com,1
3394338,2025-04-30 00:11:49,73.229,visa,debit,david.lee736@gmail.com,478020,Low,4144,Existing User,35,,Approved,No,No,mobile,5011A Build/NRD90M,gmail.com,0
3423990,2025-05-08 21:38:13,25.084,mastercard,debit,tom.tan857@gmail.com,546384,Low,4306,Existing User,22,,Approved,No,No,desktop,Windows,gmail.com,0
3560067,2025-06-26 01:57:10,75,visa,debit,john.koh660@gmail.com,470968,Low,5587,Existing User,28,,Approved,No,No,desktop,Windows,,0
3335028,2025-04-10 04:20:11,11.903,visa,debit,anna.wong575@gmail.com,405397,Low,2540,Existing User,21,,Approved,No,No,desktop,Windows,,0
3388286,2025-04-28 00:54:58,25,visa,debit,tom.koh536@anonymous.com,494524,Low,1135,Existing User,47,,Approved,Yes,No,desktop,rv:52.0,anonymous.com,1
3196422,2025-02-25 22:51:59,300,visa,credit,alex.wong68@gmail.com,436789,Low,5356,Existing User,31,,Approved,Yes,No,desktop,rv:11.0,gmail.com,1
3563433,2025-06-27 11:55:52,35,mastercard,debit,anna.lim53@gmail.com,517888,Low,1597,Existing User,30,,Approved,Yes,No,desktop,Windows,,1
